Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2006","2006","t","520","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2006","2006","t","114","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2007","2007","t","201","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2007","2007","t","1285","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2008","2008","t","512","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2008","2008","t","543","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2009","2009","t","1436","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2009","2009","t","1286","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2010","2010","t","4769","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2010","2010","t","1457","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2011","2011","t","7379","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2011","2011","t","4797","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2012","2012","t","12233","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2012","2012","t","4758","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2013","2013","t","7244","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2013","2013","t","7724","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2014","2014","t","4494.81","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2014","2014","t","9894.49","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2015","2015","t","5846.02","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2015","2015","t","3480.2","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2016","2016","t","5700","E","Estimated value",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2016","2016","t","2229.87","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2017","2017","t","67899.79","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2017","2017","t","1896.27","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2018","2018","t","105302.9","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2018","2018","t","565.7","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2019","2019","t","147944.33","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2019","2019","t","63.43","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2020","2020","t","72882.77","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2020","2020","t","59.76","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2021","2021","t","60221.85","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2021","2021","t","210.9","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","02211","Raw milk of cattle","2022","2022","t","70169.47","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","02211","Raw milk of cattle","2022","2022","t","82.63","A","Official figure",""
